path,status,sourceSha256,currentSha256
app/settings/page.tsx,identical,7705D9337FD3C5BA8E035E5CD195747E5382B80359350A440A7428509ADE2DFA,7705D9337FD3C5BA8E035E5CD195747E5382B80359350A440A7428509ADE2DFA
app/tasks/[id]/page.tsx,identical,04BDF351758F94527601158D82BE3BF37954FD80F844AA13E048C9BE90F331A0,04BDF351758F94527601158D82BE3BF37954FD80F844AA13E048C9BE90F331A0
app/tasks/page.tsx,identical,6AB7BE8E38D35816EF96D9D85B4990E11F8A8D5C1637E8B18376F29C9F33136B,6AB7BE8E38D35816EF96D9D85B4990E11F8A8D5C1637E8B18376F29C9F33136B
app/portal/invite/page.tsx,identical,B28872CB944B8FF2B1A8551F32FE1ADD9EDA9A2FDB5A15EFF0441C67EB5FAC58,B28872CB944B8FF2B1A8551F32FE1ADD9EDA9A2FDB5A15EFF0441C67EB5FAC58
app/grading/page.tsx,identical,96F969AFA1DE8D08FC2F0FDCEBC3CFC8630516B8363546BD66194972D1E80D82,96F969AFA1DE8D08FC2F0FDCEBC3CFC8630516B8363546BD66194972D1E80D82
app/classes/new/page.tsx,identical,87BD492809E983A6B4CED7EC89E0CED5E2A9BD2F11614CB91B997C13BC6AB677,87BD492809E983A6B4CED7EC89E0CED5E2A9BD2F11614CB91B997C13BC6AB677
app/classes/[id]/page.tsx,identical,E76500F981E7A867DB27B3E6C290123C8E9026039F2E5236E94D60B8BA8C5880,E76500F981E7A867DB27B3E6C290123C8E9026039F2E5236E94D60B8BA8C5880
app/classes/page.tsx,identical,18F661CEFD6890C198886BBD302EBEC4A4139EAD40331E1CDC409DB2AF1A7728,18F661CEFD6890C198886BBD302EBEC4A4139EAD40331E1CDC409DB2AF1A7728
app/resources/page.tsx,identical,A326B54AA36B777C59F5E9F005E2B9E0033736EA02179C4DD52550ED6F88D38A,A326B54AA36B777C59F5E9F005E2B9E0033736EA02179C4DD52550ED6F88D38A
app/workbench-v2/initial-state.ts,identical,148527F1E727B4B0859D2E1057B82E48BAAEB0B33D1F2CBDEA6211F3BAAAAE39,148527F1E727B4B0859D2E1057B82E48BAAEB0B33D1F2CBDEA6211F3BAAAAE39
app/workbench-v2/invite/[inviteId]/page.tsx,identical,903F4527218171D783A086C766D8E03B84587360D3C4EEF8469907C4BD1BA600,903F4527218171D783A086C766D8E03B84587360D3C4EEF8469907C4BD1BA600
app/workbench-v2/page.tsx,identical,070DD411C4E20F08332A22029FD20182294F1126A677F30201B32A3C87F5D01D,070DD411C4E20F08332A22029FD20182294F1126A677F30201B32A3C87F5D01D
app/workbench-v2/login/page.tsx,identical,E6B55A6BA31F2C6E3E7911CB2B81D0FE27AFD275175E30CB55E5CAE76A81C905,E6B55A6BA31F2C6E3E7911CB2B81D0FE27AFD275175E30CB55E5CAE76A81C905
app/mistakes/page.tsx,identical,9BD493945EFCCC2AC3013EFF7CFC100B8F9D4440DB72851E4E06558A543EEA33,9BD493945EFCCC2AC3013EFF7CFC100B8F9D4440DB72851E4E06558A543EEA33
app/icon.svg,identical,9DC8E6E0C61D01D06369EC47C74B20E5C64B5A5878EDA0A14C9108B966798334,9DC8E6E0C61D01D06369EC47C74B20E5C64B5A5878EDA0A14C9108B966798334
app/feedback/batch/page.tsx,identical,37C893EB4CD0A40E4B8E8BF1D3626396D4361E7AE1BDE40487616E1011B3FB42,37C893EB4CD0A40E4B8E8BF1D3626396D4361E7AE1BDE40487616E1011B3FB42
app/dashboard/page.tsx,identical,50C97372BDA786EC4797C7E3886DEA11B13B75D822F0CF1F08A9DA4EEB1DF9C0,50C97372BDA786EC4797C7E3886DEA11B13B75D822F0CF1F08A9DA4EEB1DF9C0
app/students/new/page.tsx,identical,B4B2C7839796215AFA6CA78A01A07AA3C6A03320D64D734F02B3AD5A0108DADA,B4B2C7839796215AFA6CA78A01A07AA3C6A03320D64D734F02B3AD5A0108DADA
app/students/[id]/feedback/new/page.tsx,identical,1A4281FEA2A2FD7315C723F8CB792AF8D0C487664B9D9931521035101B40FC88,1A4281FEA2A2FD7315C723F8CB792AF8D0C487664B9D9931521035101B40FC88
app/students/[id]/page.tsx,identical,0710802C88F19DEEF44E557AE9D33F67AEF8CA68A3FE82896F3A1F6E204F704A,0710802C88F19DEEF44E557AE9D33F67AEF8CA68A3FE82896F3A1F6E204F704A
app/students/page.tsx,identical,25368E825AC6EA038B729278F2C6EFD1D5CF45E1C3F8DE718F6D46C8F516EB03,25368E825AC6EA038B729278F2C6EFD1D5CF45E1C3F8DE718F6D46C8F516EB03
app/teacher-demo/page.tsx,identical,3F7955A3CCFACEB67778EBB9CD7D69FBE0CD2EA34CA32A54069EBFB9667DA392,3F7955A3CCFACEB67778EBB9CD7D69FBE0CD2EA34CA32A54069EBFB9667DA392
app/layout.tsx,identical,56806449FBE4C0528ADDCFD3C2AB593DE5BE16EE53FF2E9E41EE01C2EC0BEDD8,56806449FBE4C0528ADDCFD3C2AB593DE5BE16EE53FF2E9E41EE01C2EC0BEDD8
app/error.tsx,identical,C1571222DB0A65154824CF5969C3FCAB7CFDEECCC35F8FE1B2ACA5B1E9CDE042,C1571222DB0A65154824CF5969C3FCAB7CFDEECCC35F8FE1B2ACA5B1E9CDE042
app/api/workbench-v2/route.ts,identical,31CD8FB3AF88149DD75EE53B9BD9450CC90EF0D8B202DD0EC46015C99C4244B8,31CD8FB3AF88149DD75EE53B9BD9450CC90EF0D8B202DD0EC46015C99C4244B8
app/api/agents/parent-feedback/confirm/route.ts,identical,571C953F8986C8B56B3CA4E22D1B0E91A5843069A1414455F8DA780EF4B611F0,571C953F8986C8B56B3CA4E22D1B0E91A5843069A1414455F8DA780EF4B611F0
app/api/agents/parent-feedback/route.ts,identical,4F158257C06ED54933AB7B7EF9F2D15D414C27076299EAA21212A87A2025C292,4F158257C06ED54933AB7B7EF9F2D15D414C27076299EAA21212A87A2025C292
app/api/ai/wechat-feedback/route.ts,identical,EF8559E741ED1EB5CF521130E661461BE2C31BE6E624EF2B95B16B9F98F65985,EF8559E741ED1EB5CF521130E661461BE2C31BE6E624EF2B95B16B9F98F65985
app/api/ai/practice-recognition/route.ts,identical,A47AB6CB849F2BCB465F9060DAEBFFB261D82C166E689FC4696AA8749AF69F2F,A47AB6CB849F2BCB465F9060DAEBFFB261D82C166E689FC4696AA8749AF69F2F
app/api/skills/persistence/route.ts,identical,84F388C73FDCC6865CE1CF70B7950F5A60551FD04EB92DF72798F8B2550CA219,84F388C73FDCC6865CE1CF70B7950F5A60551FD04EB92DF72798F8B2550CA219
app/borrowed-shell/page.tsx,identical,46133E1CA894386021CE788A2CF0EEA782A102FBE586B37E7761062F76F9B677,46133E1CA894386021CE788A2CF0EEA782A102FBE586B37E7761062F76F9B677
app/page.tsx,identical,0F3BD42EBEF1C4C9B29DB867A1283F89DF7DE138989DB8AC4AC68008F57B6DCA,0F3BD42EBEF1C4C9B29DB867A1283F89DF7DE138989DB8AC4AC68008F57B6DCA
app/globals.css,adapted,0A450BEF018302B15CB4AAD87B3C6E866C59BA08ED1552C750086C9FF63FC812,6F3AAEE67CBF3EACE15B750436330AEEFDD374CC363E04F95AC93E639C38B72A
app/login/page.tsx,adapted,2434782ED51E7BB3111644910EF85A61677408F576790C765DCEAFE5DAF66376,309D0D1AD95B642E31C0D410650C09461B338DDA5D26F2101176355BA1B7E536
